file_name,file_path,extension,file_size_kb,parent_folder,inferred_topic,data_stage,row_count,column_count,column_names,sheet_names,top_level_keys,duplicate_locations,notes
ACSST5Y2011.S2201-Column-Metadata.csv,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2011.S2201-Column-Metadata.csv,csv,14.47,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,127,2,GEO_ID; Geography,,,,csv encoding=utf-8-sig
ACSST5Y2011.S2201-Data.csv,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2011.S2201-Data.csv,csv,41.54,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,32,129,Geography; Geographic Area Name; Total!!Estimate!!Households; Total!!Margin of Error!!Households; Households receiving food stamps!!Estimate!!Households; Households receiving food stamps!!Margin of Error!!Households; Households not receiving food stamps!!Estimate!!Households; Households not receiving food stamps!!Margin of Error!!Households; Total!!Estimate!!With one or more people 60 years and over; Total!!Margin of Error!!With one or more people 60 years and over; Households receiving food stamps!!Estimate!!With one or more people 60 years and over; Households receiving food stamps!!Margin of Error!!With one or more people 60 years and over; Households not receiving food stamps!!Estimate!!With one or more people 60 years and over; Households not receiving food stamps!!Margin of Error!!With one or more people 60 years and over; Total!!Estimate!!With children under 18 years; Total!!Margin of Error!!With children under 18 years; Households receiving food stamps!!Estimate!!With children under 18 years; Households receiving food stamps!!Margin of Error!!With children under 18 years; Households not receiving food stamps!!Estimate!!With children under 18 years; Households not receiving food stamps!!Margin of Error!!With children under 18 years; Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households receiving food stamps!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households receiving food stamps!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households not receiving food stamps!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; ...,,,,csv encoding=utf-8-sig
ACSST5Y2011.S2201-Table-Notes.txt,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2011.S2201-Table-Notes.txt,txt,5.04,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,,,,,,,documentation or metadata text file
ACSST5Y2012.S2201-Column-Metadata.csv,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2012.S2201-Column-Metadata.csv,csv,14.47,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,127,2,GEO_ID; Geography,,,,csv encoding=utf-8-sig
ACSST5Y2012.S2201-Data.csv,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2012.S2201-Data.csv,csv,41.63,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,32,129,Geography; Geographic Area Name; Total!!Estimate!!Households; Total!!Margin of Error!!Households; Households receiving food stamps!!Estimate!!Households; Households receiving food stamps!!Margin of Error!!Households; Households not receiving food stamps!!Estimate!!Households; Households not receiving food stamps!!Margin of Error!!Households; Total!!Estimate!!With one or more people 60 years and over; Total!!Margin of Error!!With one or more people 60 years and over; Households receiving food stamps!!Estimate!!With one or more people 60 years and over; Households receiving food stamps!!Margin of Error!!With one or more people 60 years and over; Households not receiving food stamps!!Estimate!!With one or more people 60 years and over; Households not receiving food stamps!!Margin of Error!!With one or more people 60 years and over; Total!!Estimate!!With children under 18 years; Total!!Margin of Error!!With children under 18 years; Households receiving food stamps!!Estimate!!With children under 18 years; Households receiving food stamps!!Margin of Error!!With children under 18 years; Households not receiving food stamps!!Estimate!!With children under 18 years; Households not receiving food stamps!!Margin of Error!!With children under 18 years; Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households receiving food stamps!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households receiving food stamps!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households not receiving food stamps!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; ...,,,,csv encoding=utf-8-sig
ACSST5Y2012.S2201-Table-Notes.txt,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2012.S2201-Table-Notes.txt,txt,5.04,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,,,,,,,documentation or metadata text file
ACSST5Y2013.S2201-Column-Metadata.csv,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2013.S2201-Column-Metadata.csv,csv,14.65,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,127,2,GEO_ID; Geography,,,,csv encoding=utf-8-sig
ACSST5Y2013.S2201-Data.csv,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2013.S2201-Data.csv,csv,41.85,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,32,129,Geography; Geographic Area Name; Total!!Estimate!!Households; Total!!Margin of Error!!Households; Households receiving food stamps!!Estimate!!Households; Households receiving food stamps!!Margin of Error!!Households; Households not receiving food stamps!!Estimate!!Households; Households not receiving food stamps!!Margin of Error!!Households; Total!!Estimate!!With one or more people 60 years and over; Total!!Margin of Error!!With one or more people 60 years and over; Households receiving food stamps!!Estimate!!With one or more people 60 years and over; Households receiving food stamps!!Margin of Error!!With one or more people 60 years and over; Households not receiving food stamps!!Estimate!!With one or more people 60 years and over; Households not receiving food stamps!!Margin of Error!!With one or more people 60 years and over; Total!!Estimate!!With children under 18 years; Total!!Margin of Error!!With children under 18 years; Households receiving food stamps!!Estimate!!With children under 18 years; Households receiving food stamps!!Margin of Error!!With children under 18 years; Households not receiving food stamps!!Estimate!!With children under 18 years; Households not receiving food stamps!!Margin of Error!!With children under 18 years; Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Total!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households receiving food stamps!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households receiving food stamps!!Margin of Error!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; Households not receiving food stamps!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level; ...,,,,csv encoding=utf-8-sig
ACSST5Y2013.S2201-Table-Notes.txt,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2013.S2201-Table-Notes.txt,txt,4.98,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,,,,,,,documentation or metadata text file
ACSST5Y2014.S2201-Column-Metadata.csv,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps/ACSST5Y2014.S2201-Column-Metadata.csv,csv,14.65,data/raw/acs/reference_repo/S2201_SNAP_Food_Stamps,demographics,raw_source,127,2,GEO_ID; Geography,,,,csv encoding=utf-8-sig
